ID,Recap,Trap,SVL,VTL,Regen,Weight,Sex,Year,projected_SVL,Toes
84,True,"['PR17', 'R6', 'PR16', 'PR12', 'R2', 'W5', 'R3']",72,71,3.0,7.06,F,2019,100,"['LF1', 'LF2', 'LF3', 'LF4', 'LF5', 'RF1', 'RF2', 'RF3', 'RF4', 'RF5', 'LR1', 'LR2', 'LR3', 'LR4', 'LR5', 'RR1', 'RR2', 'RR3', 'RR4', 'RR5']"
85,True,"['R102', 'R99', '']",67,56,12.0,5.54,M,2016,100,[]
86,True,"['R95', 'M54']",52,37,22.0,2.12,J,2017,100,[]
87,True,['R4'],42,50,0.0,1.33,N,2016,100,[]
90,False,['R106'],62,75,9.0,5.2,nan,2016,100,[]
91,False,['R108'],60,64,17.0,4.36,nan,2016,100,[]
92,False,['R14'],39,53,0.0,1.03,N,2016,100,[]
93,True,['PR19'],69,75,1.0,6.0,F,2017,100,"['LR2', 'LR3', 'RR1', 'RR2', 'RR3']"
96,True,"['R67', 'M14']",83,72,17.0,10.56,M,2018,100,"['LF2', 'LF3', 'LF4', 'RF1', 'RF2', 'RR1', 'RR3', 'RR4', 'RR5']"
97,False,['PR67'],75,80,4.0,9.2,F,2016,100,[]
98,True,"['R89', 'R91']",57,67,0.0,4.07,nan,2017,100,[]
102,True,"['M48', 'M50', 'R91']",60,45,0.0,3.79,nan,2017,100,"['LF4', 'RF2', 'LR1', 'RR1']"
103,True,"['M52', 'R91', 'R87']",45,45,2.0,1.6,J,2016,100,['LF4']
104,False,['PR10'],66,76,0.0,5.57,M,2016,100,[]
106,False,['PR21'],73,90,0.0,8.49,F,2016,100,"['LF1', 'LF2', 'LF3', 'LF4', 'LF5']"
107,True,"['farm', 'gate']",70,73,1.0,8.68,F,2016,100,['LR5']
108,True,['R31'],57,69,1.0,3.52,nan,2017,100,[]
109,False,['PR63'],40,49,0.0,1.15,N,2016,100,[]
110,True,"['R27', 'PR16', 'R6']",71,46,39.0,5.77,F,2018,100,"['LF2', 'LF3', 'RF2', 'RF3', 'RF4']"
111,True,"['PR13', 'R1']",67,83,0.5,5.86,M,2016,100,[]
112,False,['R104'],38,49,0.0,1.02,N,2016,100,[]
113,False,['R94'],36,43,0.0,0.88,N,2016,100,[]
114,False,['R93'],37,44,0.0,0.98,N,2016,100,[]
115,False,"['farm', 'gate']",35,27,18.0,0.78,N,2016,100,[]
116,False,"['farm', 'gate']",73,25,8.0,6.64,M,2016,100,[]
117,True,"['R94', 'R88', 'R87']",71,17,0.1,6.16,M,2020,100,['RR4']
118,False,['R26'],45,56,0.0,1.76,J,2016,100,[]
119,False,"['near', 'P41']",46,60,0.0,1.87,J,2016,100,[]
120,True,['PR57'],71,58,22.0,7.95,F,2019,100,[]
121,True,"['M2', 'R79']",68,90,2.0,7.46,M,2017,100,[]
123,False,['PR77'],71,71,31.0,7.41,F,2016,100,"['RR1', 'RR2', 'RR3', 'RR4', 'RR5']"
124,True,"['PR67', 'PR63', 'PR65', '(=63?)']",73,63,28.0,7.34,M,2020,100,[]
125,False,['M4'],61,75,0.0,4.01,nan,2016,100,['LF3']
127,False,['PR2'],64,73,1.0,5.94,F,2016,100,[]
128,False,['R102'],46,59,0.0,2.34,J,2016,100,"['LF3', 'LF4', 'LR3', 'LR4', 'LR5']"
129,False,"['farm', 'gate']",49,63,0.0,2.21,J,2016,100,[]
130,True,"['P135', 'M61']",54,35,23.0,2.85,J,2017,100,"['LF3', 'LR2', 'LR3', 'RR1', 'RR2']"
132,True,"['R77', 'PR10']",60,55,16.0,4.37,J,2017,100,[]
133,False,['R36'],43,43,0.0,1.64,J,2016,100,[]
134,False,['PR12'],51,78,0.0,2.48,J,2016,100,[]
135,True,"['R1', 'PR9']",55,63,0.0,3.09,nan,2017,100,[]
136,True,"['R68', 'R67']",65,71,13.0,6.52,M,2017,100,[]
137,True,['B4'],55,65,1.0,3.3,J,2017,100,[]
140,False,['PR18'],62,81,0.0,4.74,nan,2017,100,[]
142,False,['PR23'],56,66,5.0,3.64,J,2017,100,[]
143,False,['PR23'],60,81,0.0,4.29,nan,2017,100,[]
146,False,['PR63'],53,59,0.0,4.88,nan,2017,100,[]
147,False,"['farm', 'gate']",26,33,0.0,0.36,N,2017,66,[]
148,True,['R87'],72,81,4.0,7.69,M,2020,100,[]
150,True,"['B4', 'B3']",73,47,41.0,7.94,M,2020,100,['LR5']
154,False,['R71'],54,48,10.0,2.69,J,2017,100,[]
155,False,['M2'],50,70,0.0,4.25,J,2017,100,[]
156,True,"['PR11', 'R1', 'W24', 'W25', 'W1']",76,62,29.0,,M,2020,100,[]
158,False,['R67'],56,48,0.0,3.03,J,2017,100,[]
161,False,['B3'],79,85,2.0,9.68,M,2017,100,[]
163,False,['R89'],59,61,0.0,4.15,J,2017,100,[]
164,False,['R26'],54,70,0.0,2.68,J,2017,100,[]
165,False,['PR16'],59,75,0.0,4.09,M,2017,100,[]
166,True,"['PR17', 'W15', 'W12']",71,66,26.0,7.78,M,2020,100,"['RR3', 'RR4']"
167,False,['B1'],55,65,0.0,3.27,J,2017,100,[]
169,False,['PR59'],33,39,0.0,0.67,N,2017,100,[]
170,False,['B1'],60,76,11.0,4.97,M,2017,100,[]
171,False,['PR53'],76,91,0.0,9.0,M,2017,100,[]
172,True,"['B4', 'B3', 'B2']",76,86,1.0,9.35,M,2020,100,['RF4']
173,False,['PR11'],55,65,0.0,3.24,J,2017,100,[]
174,False,['PR63'],59,61,9.0,3.48,J,2017,100,[]
175,False,['M4'],56,73,0.0,3.14,J,2017,100,[]
176,False,['R9'],60,46,27.0,3.9,J,2017,100,[]
177,True,"['PR3', 'PR5']",68,73,0.0,6.0,M,2018,100,[]
178,False,['PR17'],54,69,1.0,3.32,J,2017,100,[]
180,False,['R93'],59,42,0.0,3.46,J,2017,100,[]
181,True,['R81'],75,62,28.0,8.77,M,2020,100,"['LR3', 'LR4']"
182,True,['R16'],73,50,24.0,8.92,F,2020,100,[]
184,False,"['PR4', 'M7']",54,62,0.0,3.49,J,2018,100,[]
187,True,"['R90', 'R89']",70,39,0.0,5.66,F,2020,100,"['LF2', 'LR3', 'LR4', 'LR5', 'RR1', 'RR5']"
188,False,['R76'],55,69,0.0,2.96,J,2018,100,[]
191,False,['R86'],60,48,29.0,3.95,J,2018,100,[]
193,False,['R95'],77,45,36.0,7.05,F,2018,100,"['LF3', 'LF4']"
